#{"t_start": 1741449684.657253, "env_id": "None"}
r,l,t
-5769.07,614,1486.264384
-5535.8706,1001,1491.960007
4735.514,1001,1498.77256
4379.758,1001,1503.62377
4492.595,1001,1507.262184
597.66266,1001,1509.156499
1064.1503,765,1509.687346
-5846.2046,978,1512.610347
-2080.7056,245,1515.087246
3555.7634,1001,1518.12135
2664.092,1001,1523.865673
-935.89545,568,1527.482958
-7672.1274,1001,1540.752656
-5007.849,550,1545.050032
4709.346,1001,1545.419277
-3265.913,1001,1550.653481
-4443.208,1001,1553.874915
-4407.8647,1001,1556.375908
5102.5874,1001,1565.003669
-1093.3308,1001,1568.681733
-1458.7058,167,1570.253066
945.7901,1001,1572.295063
-1963.8527,223,1576.188982
1481.7992,1001,1577.077854
-2920.9224,1001,1577.44786
-66.98507,361,1582.629104
-10026.4375,1001,1583.169089
4184.902,1001,1586.852135
-1450.0095,1001,1589.246674
-4262.369,458,1591.807141
-2551.4534,330,1594.11682
-1491.9954,832,1601.051599
-7147.914,782,1604.074358
-4275.302,711,1617.473299
-10783.97,1001,1621.041592
-6150.332,735,1621.545765
-3241.5144,393,1626.241219
4034.8396,1001,1631.974118
-4378.282,991,1634.158316
-8407.212,1001,1636.24703
3192.4163,1001,1642.215422
-3088.2651,1001,1648.25458
-1637.6437,1001,1652.125274
-4160.5747,1001,1652.594909
2057.6665,521,1652.846485
4897.651,1001,1657.949065
2757.9612,426,1662.408942
847.6499,1001,1663.874596
-7898.6763,1001,1665.948893
-3286.1338,506,1669.199968
-3583.362,350,1669.784033
3011.573,897,1671.988605
-2926.9797,331,1675.184484
-2916.547,593,1691.739459
-3916.6943,1001,1694.985671
-3760.103,1001,1695.334213
-918.8826,542,1696.698046
2833.537,657,1700.799093
-1187.2455,390,1707.821641
-7294.868,1001,1708.671615
-995.9724,753,1709.316061
-5927.3306,1001,1714.125007
2173.7102,762,1716.443027
-4502.4116,738,1719.281731
-4592.3765,564,1725.934512
-3568.2769,397,1726.672935
3316.347,1001,1728.758434
-1811.7184,1001,1733.081635
-2967.3066,300,1738.812474
-3914.7727,1001,1741.448663
-3539.332,1001,1742.05323
-4542.6587,1001,1748.997694
-3444.6948,1001,1751.839212
-2694.1743,661,1754.538101
1890.3552,519,1768.125453
3641.949,1001,1768.543956
-2028.0177,1001,1769.321421
308.94244,920,1778.524962
2387.0315,1001,1783.279555
-2352.5503,839,1785.902617
4052.4092,943,1791.844884
2259.7954,1001,1796.457268
-1905.1573,1001,1800.02901
337.1377,1001,1800.519631
4879.9194,1001,1801.370641
-2907.0327,734,1809.07477
129.97238,296,1809.808656
3808.6792,1001,1810.572357
-1827.5916,1001,1815.30677
-1655.9999,1001,1823.872775
-1321.185,335,1826.030015
-125.30462,1001,1828.610961
2119.8223,971,1841.866596
3030.8518,1001,1842.370579
-2954.2852,332,1844.27831
277.92615,1001,1851.3786
-4637.8335,1001,1852.079764
-5766.137,1001,1852.824095
-3690.8613,450,1857.545281
-104.68909,162,1858.264801
-18.30543,184,1858.574978
-3143.9626,384,1864.254557
-3507.082,1001,1868.417247
-1612.0331,358,1869.049206
2078.7148,1001,1871.105841
5113.5537,1001,1874.901953
-1350.715,221,1876.363611
-1151.9493,1001,1877.483539
-2075.3323,224,1882.185583
-7977.2046,1001,1890.359966
-2723.2603,1001,1890.766756
2887.013,460,1891.406156
2588.5942,1001,1896.429479
-2845.4614,1001,1900.488082
-5389.442,622,1901.903231
-3996.6763,397,1902.851691
-4064.1067,1001,1903.393744
-8789.262,938,1907.248758
-4031.0,569,1919.070555
-2384.5361,438,1924.415892
-1856.6096,761,1930.130252
-977.5557,1001,1932.154616
3463.3271,720,1935.655278
-3222.403,490,1939.929173
913.1408,1001,1943.479527
-3927.7634,1001,1944.864167
-1444.1182,1001,1948.68521
4875.8066,1001,1950.561585
-498.9288,253,1951.452076
-1519.7993,229,1951.969978
-2425.7795,308,1961.873787
-2614.003,1001,1962.694267
686.1193,1001,1964.743945
3975.0557,1001,1967.945051
-1622.8259,1001,1972.504738
-2257.608,360,1973.737656
-2025.6362,345,1975.768544
-8692.859,864,1979.108458
4231.6333,1001,1981.743012
-3870.681,1001,1995.223825
1586.5383,616,2003.883022
615.1908,1001,2005.433918
-692.7991,1001,2010.581421
-4638.247,875,2011.127739
-2627.6973,333,2014.535572
-4512.818,1001,2018.205902
-1744.2346,1001,2021.641546
3732.4272,1001,2024.098867
-4057.9463,459,2025.895057
-3542.0842,1001,2027.514836
-1581.1207,534,2028.164726
-5780.204,1001,2037.330082
-4157.94,862,2045.266375
-1787.0178,1001,2046.341313
-1889.1396,324,2047.493194
-3376.2964,1001,2052.981043
4763.315,1001,2055.463571
-9016.969,1001,2057.243265
-1072.592,1001,2058.658174
-5412.596,1001,2069.511548
